date,dailycase,acccase,dailyvaccine,accvaccine,Mnuminter,Cnuminter,Mnumvac,Cnumvac,MscoreIntervention,CscoreIntervention,MscoreVaccine,CscoreVaccine,dailyvaccine3,accvaccine3
2021-04-09,6381.367069934265,987334.130295271,112747.39601545387,4717819.507075185,30.581939395609705,24.65785668084127,59.628687167127055,15.100691052917792,85.53531838030905,67.11318161807543,174.43127790070733,44.14482203652327,0.0,0.0
2021-04-10,6653.344356018892,993985.5602080438,249747.71688725092,4967545.083030716,31.764665083514817,25.54762467567243,59.66405188627912,14.710131463867802,85.71921126528824,67.42621858013699,175.45886625055135,44.30113438816012,0.0,0.0
2021-04-11,6803.127185381415,1000786.9267639248,225961.2511053928,5193485.2311167335,32.64425661977758,25.590709794955156,58.64838652424719,14.83298109060395,85.84472208595918,67.69014356770592,176.46978795570905,44.449526554249815,0.0,0.0
2021-04-12,6905.214073019849,1007690.5215057579,204440.33879412705,5397905.600210075,33.154346217368136,25.72493285654437,59.63429081005717,14.848888239665358,85.91617918039913,67.90291038196611,177.45886008806298,44.59160197468529,0.0,0.0
2021-04-13,7060.246473749771,1014749.2786428988,184969.18106757506,5582855.995972472,33.23488735851867,25.94161314307691,59.478638875994776,14.768039044715707,85.93867230548734,68.06326572936679,178.4248744946284,44.72725141636523,0.0,0.0
2021-04-14,7319.0879520296585,1022066.996686763,167352.53709993407,5750190.949526741,33.2125164589794,25.66145105805807,60.95690834357106,15.266336073820082,85.91638984837215,68.17131149380917,179.36384779743895,44.85498352834212,0.0,0.0
2021-04-15,7515.27540700789,1029581.0116301555,151413.76516540587,5901588.325001629,33.858961108367,26.07465747434985,61.15149381276961,15.1457293461131,85.8527719220761,68.22742442223908,180.2636725945605,44.97208731261976,0.0,0.0
2021-04-16,7611.918231180988,1037191.7699106394,136993.050436182,6038566.15312068,35.39624087309164,27.115191983939177,63.32759576330902,15.32233091269632,85.7504979213654,68.23069431039661,181.10501208394447,45.07457737911467,0.0,0.0
2021-04-17,7756.786398552396,1044947.4889311489,300694.98918604053,6339247.04758012,36.31090503718314,28.05662330700129,61.01063010963523,14.43447003457883,85.6105493445138,68.17983469587966,181.862408671758,45.15797959650667,0.0,0.0
2021-04-18,7814.522194474996,1052761.02889981,272056.79220541095,6611290.447564602,38.09085482744619,27.76551044011102,58.247657098808325,13.440690892972109,85.43145044498564,68.07338197821262,182.51057921853732,45.21801610063494,0.0,0.0
2021-04-19,7757.233318554276,1060517.3584952923,246146.1475854765,6857423.954606414,36.84408394385431,27.40688383852739,58.31931011429485,13.779678913146457,85.20989476223363,67.91014278775792,183.02648720441965,45.25085136971156,0.0,0.0
2021-04-20,7805.021412397783,1068321.5487430964,222703.2693813268,7080115.358551733,35.525577938672576,26.701454655896836,57.717461095746955,13.419703535587823,84.94301177287,67.68955411733397,183.3920857781228,45.25513440386819,0.0,0.0
2021-04-21,7872.258475098505,1076193.0429129335,201493.11662314562,7281597.38880764,34.80884549861336,27.015606535312763,58.125328050751236,14.332126384355767,84.63032065777121,67.41218667568867,183.59309225332223,45.228999231584886,0.0,0.0
2021-04-22,7971.187579564842,1084163.5277543191,182303.03602484736,7463890.107007336,34.06513585230162,26.82364140759353,58.494349425993136,15.062409955168699,84.27272784300959,67.08036691916575,183.61827754044197,45.17066852118794,0.0,0.0
2021-04-23,7976.122156278813,1092139.0038171348,164940.62931041585,7628821.165959899,33.10653973610832,27.221394720142797,62.44731697895678,14.675509026800283,83.87138102393477,66.69701985517094,183.46103072565012,45.07991227096913,0.0,0.0
2021-04-24,7978.586740154624,1100116.9966872397,333763.39391253743,7962575.7084590485,32.905914679271845,27.20030927487415,61.64280167835779,14.420695817551282,83.42551123070508,66.2661795731417,183.11741667742845,44.95565380956218,0.0,0.0
2021-04-25,7916.815954658768,1108033.2669055043,301976.0850834589,8264543.432634173,33.48630958073159,26.03836340002988,59.39108368818312,13.809194842391738,82.93331347274182,65.79182597123204,182.58399110945527,44.79663718355387,0.0,0.0
2021-04-26,7820.070699792726,1115852.836279765,273216.19685679453,8537751.776317308,33.439993962123815,25.84423179012448,59.830032083508094,14.494039645699187,82.3949237303793,65.27810516605261,181.86656506612127,44.60348753368704,0.0,0.0
2021-04-27,7811.968661840018,1123664.3446012882,247195.39296518717,8784939.827832008,32.15998402414743,26.525739121772773,62.89386371569019,14.351748986967115,81.8098062085769,64.72875441612997,180.98128687354807,44.37873848778823,0.0,0.0
2021-04-28,7884.067420288871,1131547.9894132193,223652.79964218786,9008585.791859742,31.859030928317868,26.66614596306451,62.99921081131744,14.60396524338349,81.17730447390517,64.14579896224892,179.9462820121828,44.12448940479237,0.0,0.0
