date,dailycase,acccase,Mnuminter,Cnuminter,Mnumvac,Cnumvac
2021-10-29,2481.0,1707590.0,10.0,11.0,20.0,6.0
2021-10-30,2103.0,1709693.0,11.0,15.0,13.0,2.0
2021-10-31,1889.0,1711582.0,7.0,15.0,8.0,2.0
2021-11-01,1871.0,1713453.0,11.0,16.0,14.0,5.0
2021-11-02,2141.0,1715594.0,24.0,16.0,13.0,5.0
2021-11-03,2622.0,1718216.0,19.0,10.0,16.0,11.0
2021-11-04,2627.0,1720843.0,13.0,12.0,21.0,9.0
2021-11-05,2837.0,1723680.0,18.0,7.0,22.0,5.0
2021-11-06,2470.0,1726150.0,10.0,10.0,10.0,5.0
2021-11-07,2169.0,1728319.0,18.0,9.0,12.0,3.0
2021-11-08,2174.0,1730493.0,11.0,10.0,14.0,3.0
2021-11-09,2584.0,1733077.0,10.0,15.0,13.0,6.0
2021-11-10,2701.0,1735778.0,18.0,16.0,26.0,2.0
2021-11-11,2690.0,1738468.0,21.0,8.0,15.0,1.0
2021-11-12,2706.0,1741174.0,9.0,15.0,5.0,3.0
2021-11-13,2394.0,1743568.0,9.0,11.0,6.0,1.0
2021-11-14,2007.0,1745575.0,11.0,19.0,9.0,1.0
2021-11-15,2091.0,1747666.0,18.0,11.0,12.0,5.0
2021-11-16,2227.0,1749893.0,18.0,12.0,27.0,7.0
2021-11-17,2704.0,1752597.0,17.0,7.0,19.0,7.0
2021-11-18,2987.0,1755584.0,13.0,13.0,17.0,4.0
2021-11-19,2692.0,1758276.0,13.0,5.0,29.0,3.0
2021-11-20,2743.0,1761019.0,15.0,9.0,13.0,4.0
2021-11-21,2217.0,1763236.0,9.0,10.0,16.0,2.0
2021-11-22,2147.0,1765383.0,6.0,11.0,21.0,3.0
2021-11-23,2642.0,1768025.0,12.0,7.0,50.0,5.0
2021-11-24,2807.0,1770832.0,15.0,9.0,39.0,8.0
2021-11-25,3117.0,1773949.0,11.0,6.0,29.0,2.0
2021-11-26,3178.0,1777127.0,9.0,11.0,18.0,2.0
2021-11-27,2788.0,1779915.0,12.0,19.0,12.0,2.0
2021-11-28,2247.0,1782162.0,27.0,7.0,13.0,2.0
2021-11-29,2210.0,1784372.0,27.0,14.0,27.0,7.0
2021-11-30,2970.0,1787342.0,20.0,13.0,27.0,7.0
2021-12-01,3258.0,1790600.0,18.0,11.0,16.0,5.0
2021-12-02,3510.0,1794110.0,16.0,13.0,27.0,4.0
2021-12-03,3656.0,1797766.0,10.0,17.0,19.0,6.0
2021-12-04,3280.0,1801046.0,12.0,10.0,16.0,2.0
2021-12-05,2959.0,1804005.0,20.0,14.0,8.0,2.0
2021-12-06,2976.0,1806981.0,17.0,9.0,35.0,3.0
2021-12-07,3498.0,1810479.0,17.0,22.0,30.0,4.0
2021-12-08,3969.0,1814448.0,13.0,10.0,21.0,4.0
2021-12-09,4824.0,1819272.0,9.0,12.0,20.0,3.0
2021-12-10,4847.0,1824119.0,11.0,17.0,30.0,5.0
2021-12-11,4804.0,1828923.0,7.0,8.0,25.0,5.0
2021-12-12,4158.0,1833081.0,19.0,15.0,17.0,5.0
2021-12-13,4262.0,1837343.0,25.0,18.0,43.0,3.0
2021-12-14,5831.0,1843174.0,26.0,25.0,38.0,6.0
2021-12-15,7576.0,1850750.0,37.0,33.0,30.0,18.0
2021-12-16,8594.0,1859344.0,27.0,39.0,52.0,9.0
2021-12-17,10412.0,1869756.0,39.0,28.0,37.0,11.0
2021-12-18,10686.0,1880442.0,41.0,32.0,15.0,11.0
2021-12-19,10916.0,1891358.0,33.0,29.0,14.0,4.0
2021-12-20,11676.0,1903034.0,37.0,21.0,52.0,9.0
2021-12-21,16051.0,1919085.0,31.0,36.0,40.0,10.0
2021-12-22,21465.0,1940550.0,20.0,40.0,40.0,4.0
2021-12-23,28758.0,1969308.0,38.0,25.0,23.0,13.0
2021-12-24,29545.0,1998853.0,27.0,20.0,28.0,11.0
2021-12-25,25998.0,2024851.0,16.0,14.0,8.0,3.0
2021-12-26,23730.0,2048581.0,13.0,8.0,10.0,3.0
2021-12-27,25711.0,2074292.0,16.0,9.0,32.0,5.0
2021-12-28,34942.0,2109234.0,34.0,28.0,23.0,4.0
2021-12-29,44066.0,2153300.0,28.0,17.0,28.0,8.0
2021-12-30,48009.0,2201309.0,30.0,32.0,19.0,4.0
2021-12-31,50936.0,2252245.0,35.0,32.0,15.0,3.0
2022-01-01,41375.0,2293620.0,29.0,16.0,10.0,1.0
2022-01-02,35062.0,2328682.0,23.0,17.0,22.0,2.0
2022-01-03,38364.0,2367046.0,31.0,21.0,18.0,8.0
